chart_id,chart_file,analysis_domain,business_question,source_table,metric,denominator,eligibility,chart_type,statistical_method,effect_size,confidence_interval,finding,alternative_explanation,decision_supported,claim_strength,powerbi_candidate,readme_candidate,status
ACQ_04,02_acquisition/acq_04_conversion_vs_downstream_value.png,acquisition,Does higher conversion also mean higher downstream seller value?,reviewed row-level Olist source + reports/statistics,conversion rate vs GMV proxy / matched seller,MQLs; bubble = matched sellers,closed deals linked to seller GMV,bubble scatter,descriptive value comparison,descriptive,not applicable,conversion and downstream value are separate governance dimensions,seller mix and linkage coverage,govern channels on efficiency and value,LEVEL 1,yes,yes,done
ACQ_05,02_acquisition/acq_05_origin_scorecard_heatmap.png,acquisition,"How do origins compare across volume, conversion, value and retention?",reviewed row-level Olist source + reports/statistics,standardized origin metrics,metric-specific denominators,only metrics with eligible source populations,heatmap,standardized visualization only,descriptive,not applicable,channel roles are multidimensional,mix shift or selection,channel governance scorecard,LEVEL 1,no,no,done
ACQ_06,02_acquisition/acq_06_pairwise_conversion_forest.png,acquisition,Which key origin pairs differ in conversion?,reviewed row-level Olist source + reports/statistics,percentage-point conversion difference,MQLs in each pair,both origins n≥30,forest plot,two-proportion z-test + BH/FDR,difference in pp,95% CI + FDR,social is the clearest actionable lag,mix and multiple comparisons,prioritize channel experiments,LEVEL 2,no,no,done
ACT_01,03_activation/act_01_explicit_denominator_funnel.png,activation,How much seller volume survives each activation-link stage?,seller_activation_timing.csv,seller count,closed → matched observed → eligible → activated/censored,Canonical repair contract; see source artifact,event/censor reconciliation,canonical v3 denominator,descriptive,not applicable,rates are conditional on valid links,mix shift or selection,RC3/D03,LEVEL 0,no,no,done
ACT_02,03_activation/act_02_time_to_first_sale_distribution.png,activation,How quickly do valid linked sellers reach first sale?,activation_timing_detail.csv,days to first sale,observed activated sellers,Canonical repair contract; see source artifact,histogram,exact seller timestamps,median activation time,bootstrap 95% for median,median time-to-value is about 39 days,seller readiness and demand,observed activator median,LEVEL 1,no,no,done
ACT_03,03_activation/act_03_cumulative_activation_curve.png,activation,How does activation accumulate over seller age?,activation_survival.csv,cumulative activation,activation-eligible sellers,Canonical repair contract; see source artifact,Kaplan–Meier,right censoring,cumulative activation,not estimated in curve image,activation is a time-to-event process,mix shift or selection,event/censor curve,LEVEL 1,yes,yes,done
ACT_04,03_activation/act_04_activation_speed_by_origin.png,activation,Do activation times differ by origin?,activation_by_origin_ci.csv,days to first sale,observable sellers by window,Canonical repair contract; see source artifact,rate + Wilson CI,fixed-window observability,descriptive,not applicable,"origin is a segmentation lens, not a causal explanation",seller mix and readiness,origin context only,LEVEL 1,no,no,done
ACT_05,03_activation/act_05_30_60_90_activation_ci.png,activation,Which origins reach activation milestones?,activation_fixed_window.csv,30/60/90-day activation rate,observable sellers per window,Canonical repair contract; see source artifact,rate + Wilson CI,eligibility-aware fixed windows,descriptive,Wilson 95%,milestone uncertainty is wider for sparse origins,mix shift or selection,D03,LEVEL 1,no,no,done
ACT_06,03_activation/act_06_activation_time_vs_downstream_gmv.png,activation,Are slower activators also lower-value sellers?,seller_activation.csv,days to first sale vs log lifetime GMV,observed activators with downstream GMV,Canonical repair contract; see source artifact,scatter,descriptive association,descriptive,not applicable,speed/value relationship is a testable onboarding signal,"seller readiness, category and survivorship",D03,LEVEL 1,no,no,done
RET_01,04_retention/ret_01_overall_cohort_heatmap.png,retention,How does seller retention decay by cohort age?,reviewed row-level Olist source + reports/statistics,active seller share by cohort age,cohort sellers,cohort+age must be observable,cohort heatmap,cohort eligibility/censoring,descriptive,not applicable,recent cohort cells are masked when unobservable,mix shift or selection,retain censoring awareness,LEVEL 0,no,no,done
RET_02,04_retention/ret_02_retention_curves_by_origin.png,retention,Do retention curves differ by major acquisition origin?,reviewed row-level Olist source + reports/statistics,seller retention,eligible sellers by origin and cohort age,valid linked origin; age observable,line curves,cohort retention,descriptive,not applicable,origin curves should be interpreted with eligibility and n,cohort mix and censoring,avoid origin-only retention optimization,LEVEL 1,no,no,done
RET_03,04_retention/ret_03_m3_retention_forest.png,retention,What does M3 retention look like with eligibility-aware uncertainty?,retention_model_comparison.csv,M3 retention rate,major origins + pooled eligible quarter,Canonical repair contract; see source artifact,forest + CI,GLM HC3; no separation,descriptive,Wilson 95%,origin intervals overlap materially,cohort timing and censoring,D02,LEVEL 2,yes,yes,done
RET_04,04_retention/ret_04_raw_vs_adjusted_or.png,retention,Do origin differences persist after cohort adjustment?,retention_model_comparison.csv,M3 retention odds ratio,major origins incl. unknown,Canonical repair contract; see source artifact,paired forest,R1 vs R2,odds ratio,95% model CI,adjustment does not create causal evidence,cohort and selection effects,D02,LEVEL 2,no,no,done
RET_05,04_retention/ret_05_retention_by_activation_speed.png,retention,Is faster activation associated with later seller retention?,reviewed row-level Olist source + reports/statistics,M3 retention by activation-speed bucket,valid linked sellers by bucket,M3 eligible; sample flags shown,forest plot,Wilson 95% CI,descriptive,Wilson 95%,retention declines across slower buckets descriptively,reverse causality and seller mix,test onboarding with retention guardrail,LEVEL 2,no,no,done
RET_06,04_retention/ret_06_retention_by_early_value_tier.png,retention,Is later retention associated with early seller value?,reviewed row-level Olist source + reports/statistics,M3 retention by first-30-day GMV tier,valid linked M3-eligible sellers,early value precedes M3 outcome,bar,descriptive tier comparison,descriptive,not applicable,early value is an actionable segmentation candidate,survivorship and category mix,prioritize seller success signals,LEVEL 1,no,no,done
CON_01,05_seller_value_concentration/con_01_lorenz_curve.png,concentration,How unequal is seller GMV distribution?,reviewed row-level Olist source + reports/statistics,cumulative seller/GMV share,positive-GMV sellers,seller GMV >0,Lorenz curve,Gini coefficient + bootstrap,Gini 0.792,bootstrap 95%,seller value is highly concentrated,mix shift or selection,monitor concentration risk,LEVEL 1,yes,yes,done
CON_02,05_seller_value_concentration/con_02_pareto_cumulative_curve.png,concentration,How much GMV proxy sits in the top seller percentiles?,reviewed row-level Olist source + reports/statistics,cumulative GMV proxy share,positive-GMV sellers,ranked seller GMV,Pareto curve,cumulative concentration,top 20% = 82.7%,not applicable,top 20% produce about 82.7%,mix shift or selection,monitor top-share guardrails,LEVEL 1,yes,no,done
CON_03,05_seller_value_concentration/con_03_gmv_by_seller_decile.png,concentration,How is seller GMV distributed across deciles?,reviewed row-level Olist source + reports/statistics,GMV proxy share,seller decile,positive-GMV sellers,bar,decile composition,descriptive,not applicable,top deciles carry disproportionate value,mix shift or selection,seller-breadth monitoring,LEVEL 1,no,no,done
CON_04,05_seller_value_concentration/con_04_concentration_through_time.png,concentration,Is seller dependence increasing through time?,reviewed row-level Olist source + reports/statistics,top 1/5/10% share,monthly seller GMV,monthly active sellers,line,descriptive monitoring,descriptive,not applicable,concentration is a recurring monitoring KPI,mix shift or selection,concentration monitoring,LEVEL 1,yes,no,done
CON_05,05_seller_value_concentration/con_05_active_sellers_vs_gmv.png,concentration,Does GMV scale with active-seller breadth?,reviewed row-level Olist source + reports/statistics,active sellers vs GMV,monthly totals,months with seller activity,scatter,descriptive relationship,descriptive,not applicable,breadth and GMV are linked but not interchangeable,mix shift or selection,seller breadth vs productivity diagnosis,LEVEL 1,yes,no,done
CON_06,05_seller_value_concentration/con_06_category_concentration_matrix.png,concentration,Which high-value categories combine GMV and concentration?,reviewed row-level Olist source + reports/statistics,category GMV vs top-10 seller share,seller/category GMV,seller_count≥10,scatter,category concentration,descriptive,not applicable,category concentration is more actionable than a generic diversification rule,mix shift or selection,target category seller breadth,LEVEL 1,no,no,done
CX_01,07_customer_experience/cx_01_review_by_lateness.png,customer_experience,Are late orders associated with lower reviews?,reviewed row-level Olist source + reports/statistics,review score,reviewed delivered orders,delivery and review observed,box plot,Mann–Whitney + bootstrap mean difference,late minus on-time mean,bootstrap 95%,late orders have lower review scores,"category, state, freight and review selection",late-delivery investigation,LEVEL 2,yes,no,done
CX_02,07_customer_experience/cx_02_review_score_composition.png,customer_experience,How does lateness change review-score composition?,reviewed row-level Olist source + reports/statistics,review-star composition,reviewed orders by delivery group,review score observed,100% stacked bar,composition,descriptive,not applicable,composition communicates the customer-experience penalty beyond the mean,mix shift or selection,prioritize operational investigation,LEVEL 1,no,no,done
CX_03,07_customer_experience/cx_03_low_review_rate_ci.png,customer_experience,How large is the low-review risk difference?,reviewed row-level Olist source + reports/statistics,low-review rate,reviewed delivered orders,review score ≤2,dot + error bar,Wilson 95% CI; risk difference and risk ratio,risk difference and risk ratio,Wilson 95%,late orders show a materially higher low-review rate,selection and mix,late-delivery investigation,LEVEL 2,yes,yes,done
CX_04,07_customer_experience/cx_04_delay_severity_vs_review.png,customer_experience,Does delay severity track worse review outcomes?,reviewed row-level Olist source + reports/statistics,review score and low-review rate,orders by severity bucket,delivery + review observed,dual-axis severity line,descriptive dose-response,severity gradient,bootstrap/Wilson by bucket,more severe late buckets are the operational priority,"category, state and route mix",prioritize severity investigation,LEVEL 2,yes,yes,done
CX_05,07_customer_experience/cx_05_delay_days_vs_low_review_probability.png,customer_experience,How does low-review probability vary by delay days?,reviewed row-level Olist source + reports/statistics,low-review probability,reviewed delivered orders by delay bin,delay and review observed,binned scatter,empirical rate,descriptive,not applicable,delay severity is a more actionable lens than a binary flag alone,mix shift or selection,investigate delay bands,LEVEL 1,no,no,done
CX_06,07_customer_experience/cx_06_late_rate_by_category.png,customer_experience,Which categories have the highest late-delivery exposure?,reviewed row-level Olist source + reports/statistics,late rate,reviewed delivered orders by category,n≥100,ranked bar,Wilson rate context in table,descriptive,not applicable,late rate is not enough; pair it with volume and penalty,mix shift or selection,segment delivery investigation,LEVEL 1,no,no,done
CX_07,07_customer_experience/cx_07_review_penalty_by_category.png,customer_experience,Where is the review penalty of lateness largest?,reviewed row-level Olist source + reports/statistics,mean review penalty,reviewed delivered orders by category,n≥100 and ≥10 late/on-time,forest plot,bootstrap difference CI,late minus on-time review,bootstrap 95%,category penalty identifies targeted investigation scope,mix and selection,prioritize by volume × severity × penalty,LEVEL 2,no,no,done
CX_08,07_customer_experience/cx_08_late_rate_by_customer_state.png,customer_experience,Which customer states show higher lateness?,reviewed row-level Olist source + reports/statistics,late rate,reviewed delivered orders by customer state,n≥100,ranked bar,Wilson rate context,descriptive,not applicable,"state-level exposure is a prioritization cut, not a causal map",mix shift or selection,target operational review,LEVEL 1,no,no,done
CX_09,07_customer_experience/cx_09_review_penalty_by_state.png,customer_experience,Where is the late-delivery review penalty strongest by state?,reviewed row-level Olist source + reports/statistics,mean review penalty,reviewed delivered orders by customer state,n≥100 and ≥10 late/on-time,forest plot,bootstrap difference CI,late minus on-time review,bootstrap 95%,state cuts refine operational scope,mix shift or selection,target investigation,LEVEL 2,no,no,done
CX_10,07_customer_experience/cx_10_adjusted_low_review_or.png,customer_experience,Does delay remain associated with low review after adjustment?,reviewed row-level Olist source + reports/statistics,adjusted odds ratios,"95,830 reviewed delivered orders",complete-case model fields,forest plot,binomial GLM + HC3 robust SE,adjusted OR,95% model CI,delay remains a decision variable after controls,unmeasured carrier/route conditions,"operational investigation, not causal rollout",LEVEL 3,yes,no,done
CAT_01,06_category_geography/cat_01_category_gmv_contribution.png,category,Which categories contribute most GMV proxy?,reviewed row-level Olist source + reports/statistics,category GMV proxy,all item GMV proxy,top categories + Other logic retained in source table,ranked bar,descriptive composition,descriptive,not applicable,category value is concentrated,mix shift or selection,prioritize category deep dives,LEVEL 1,no,no,done
CAT_02,06_category_geography/cat_02_category_growth_vs_contribution.png,category,Which categories combine scale and momentum?,reviewed row-level Olist source + reports/statistics,GMV share vs growth,complete-month category totals,seller_count>20,bubble scatter,descriptive trend,descriptive,not applicable,scale and momentum need separate category actions,mix shift or selection,category prioritization,LEVEL 1,no,no,done
CAT_03,06_category_geography/cat_03_category_seller_productivity.png,category,Which categories have higher seller productivity?,reviewed row-level Olist source + reports/statistics,GMV proxy / active seller,active sellers by category,active sellers≥20,ranked bar,descriptive productivity,descriptive,not applicable,category productivity can target commercial enablement,mix shift or selection,category seller productivity,LEVEL 1,no,no,done
CAT_04,06_category_geography/cat_04_category_review_vs_gmv.png,category,Which high-value categories have weaker reviews?,reviewed row-level Olist source + reports/statistics,GMV proxy vs average review,category item GMV / observed reviews,review observed,scatter,descriptive relationship,descriptive,not applicable,value and experience can diverge,mix shift or selection,category guardrails,LEVEL 1,no,no,done
CAT_05,06_category_geography/cat_05_category_review_vs_late_rate.png,category,Which categories combine lateness and weaker reviews?,reviewed row-level Olist source + reports/statistics,late rate vs average review,category orders with observed fields,delivery/review observed,scatter,descriptive relationship,descriptive,not applicable,category experience should be segmented before intervention,mix shift or selection,category operational drilldown,LEVEL 2,no,no,done
CAT_06,06_category_geography/cat_06_category_concentration_risk.png,category,Which categories have both high value and fragile seller breadth?,reviewed row-level Olist source + reports/statistics,category GMV vs top-10 share,seller/category GMV,seller_count≥10,scatter,concentration,descriptive,not applicable,target category breadth where value and dependence intersect,mix shift or selection,concentration monitoring,LEVEL 1,no,no,done
CAT_07,06_category_geography/cat_07_category_momentum_heatmap.png,category,How does category GMV share move over time?,reviewed row-level Olist source + reports/statistics,category GMV share,monthly category GMV,top categories; complete months preferred,heatmap,descriptive trend,descriptive,not applicable,momentum should be read with partial-period flags,mix shift or selection,category monitoring,LEVEL 1,no,no,done
GEO_01,06_category_geography/geo_01_seller_state_gmv_share.png,geography,Which seller states contribute most GMV proxy?,reviewed row-level Olist source + reports/statistics,seller-state GMV share,seller-state item GMV,seller state observed,ranked bar,descriptive composition,descriptive,not applicable,seller-state concentration is material,mix shift or selection,geography market-structure monitoring,LEVEL 1,no,no,done
GEO_02,06_category_geography/geo_02_gmv_vs_seller_count_by_state.png,geography,Which seller states combine breadth and value?,reviewed row-level Olist source + reports/statistics,GMV vs seller count,seller-state totals,seller state observed,bubble scatter,descriptive relationship,descriptive,not applicable,state value and breadth are separate lenses,mix shift or selection,geography prioritization,LEVEL 1,no,no,done
GEO_03,06_category_geography/geo_03_state_seller_productivity.png,geography,Which seller states have higher productivity?,reviewed row-level Olist source + reports/statistics,GMV proxy / seller,seller-state seller count,seller count≥10,ranked bar,descriptive productivity,descriptive,not applicable,state productivity is a commercial and supply lens,mix shift or selection,geography seller strategy,LEVEL 1,no,no,done
GEO_04,06_category_geography/geo_04_state_concentration_pareto.png,geography,How concentrated is seller-state GMV proxy?,reviewed row-level Olist source + reports/statistics,cumulative state GMV share,seller-state GMV,states ranked by GMV,Pareto line,cumulative concentration,descriptive,not applicable,geography concentration complements seller concentration,mix shift or selection,geography risk monitoring,LEVEL 1,no,no,done
GEO_05,06_category_geography/geo_05_state_operational_experience.png,geography,How does customer-state experience vary with order volume?,reviewed row-level Olist source + reports/statistics,late rate + average review,reviewed delivered orders by customer state,n≥100,dual-axis bar/line,descriptive segmentation,descriptive,not applicable,customer state is distinct from seller state,route and category mix,operational geography drilldown,LEVEL 2,no,no,done
DEC_01,10_decision_layer/dec_01_evidence_vs_actionability.png,decision_layer,Which decisions combine strong evidence and high actionability?,reviewed row-level Olist source + reports/statistics,evidence strength vs actionability,decision cards,five reviewed decisions,matrix,transparent qualitative dimensions,descriptive,not applicable,completeness and delivery investigation are the clearest P1 actions,mix shift or selection,sequence management attention,LEVEL 2,yes,yes,done
DEC_02,10_decision_layer/dec_02_scope_vs_confidence.png,decision_layer,Which decisions deserve management attention first?,reviewed row-level Olist source + reports/statistics,scope vs confidence,decision-card scope,five reviewed decisions,bubble matrix,qualitative confidence labels,descriptive,not applicable,large scope does not erase evidence limitations,mix shift or selection,management attention sequencing,LEVEL 2,no,no,done
DEC_03,10_decision_layer/dec_03_decision_kpi_tree.png,decision_layer,What KPI and guardrail govern each action?,reviewed row-level Olist source + reports/statistics,decision → primary KPI → guardrail,five decision cards,decision register complete,decision tree,decision-card review,descriptive,not applicable,every action has a monitoring path,mix shift or selection,operating cadence,LEVEL 2,no,no,done
DEC_04,10_decision_layer/dec_04_risk_limitation_matrix.png,decision_layer,What limitations constrain each decision?,reviewed row-level Olist source + reports/statistics,limitation intensity by decision,five decision cards,reviewed limitation taxonomy,heatmap,qualitative limitation register,descriptive,not applicable,causal limitation remains material for observational actions,mix shift or selection,set stop/escalation rules,LEVEL 2,no,no,done
